gene,¦Â2AR-APEX2(BI167107),DOR-APEX2,CCDC68,CCDC120,LiMoCentrosome,Endosomal-APEX2,AT1R-APEX2(AngII),AT1R-APEX2(TRV027)
O43290,0,0,1,1,0,0,1,1
O43291,1,0,0,0,0,0,0,1
O43292,1,0,0,0,1,0,0,0
O43293,1,0,0,1,0,0,0,0
O43301,1,0,0,0,0,0,0,0
O43303,1,1,0,0,1,1,0,0
O43306,1,0,0,0,0,0,0,0
O43310,1,0,0,0,0,0,0,0
O43318,1,1,1,1,1,1,0,0
O43324,1,1,0,1,1,1,0,0
O43353,1,1,1,1,0,1,0,0
O43379,1,1,0,0,1,1,0,0
O43390,1,1,0,1,1,1,1,1
O43395,0,0,0,1,1,0,0,0
O43396,1,0,0,1,0,0,0,0
O43399,1,1,0,1,1,0,0,0
O43402,0,0,1,1,0,0,0,0
O43405,1,0,0,0,0,0,0,0
O43414,0,0,0,1,0,0,0,0
O43426,1,0,0,0,0,0,0,0
O43427,0,0,1,1,0,0,0,0
O43432,1,1,0,1,0,1,1,0
O43447,0,0,0,1,1,0,0,0
O43462,1,0,0,0,0,0,0,0
O43464,0,0,0,1,0,0,0,0
O43474,0,0,0,1,0,0,0,0
O43488,0,0,0,1,1,0,0,0
O43491,1,1,1,0,0,1,1,1
O43493,1,0,0,0,0,0,0,0
O43504,1,0,0,0,0,0,0,0
O43505,1,0,0,0,0,0,0,0
O43524,1,0,0,0,0,0,0,0
O43529,1,0,0,0,0,0,0,0
O43556,1,0,0,0,0,0,0,0
O43583,1,0,1,0,1,0,0,1
O43592,1,1,1,1,1,1,0,0
O43597,1,0,0,0,0,0,0,0
O43598,0,0,0,1,0,0,0,0
O43615,0,0,1,1,1,0,0,0
O43639,1,0,1,0,0,0,0,0
O43657,1,0,0,0,0,0,0,0
O43660,0,0,0,1,1,0,1,0
O43663,1,0,0,1,0,0,0,0
O43665,1,0,0,0,0,0,0,0
O43670,1,0,1,1,1,0,0,1
O43681,0,0,0,1,1,0,0,0
O43683,1,1,1,0,1,1,0,0
O43684,1,1,1,1,1,1,0,0
O43707,1,1,1,1,0,1,1,1
O43709,0,0,0,1,0,0,0,0
O43719,1,1,0,1,0,0,0,0
O43739,0,0,0,1,0,0,0,0
O43747,1,1,0,1,1,1,0,0
O43752,0,0,0,1,0,0,0,0
O43759,1,0,1,0,0,0,0,0
O43760,1,1,1,1,1,1,0,1
O43761,1,0,1,0,0,0,0,0
O43768,1,1,0,0,1,1,1,1
O43772,0,0,1,1,1,0,0,0
O43776,1,1,0,1,1,1,1,1
O43790,0,0,1,0,0,0,0,0
O43795,1,1,1,1,1,1,1,1
O43808,0,0,1,1,0,0,0,0
O43809,1,1,1,1,1,1,0,1
O43813,1,1,1,1,0,1,0,0
O43815,1,0,0,1,0,0,0,0
O43818,0,0,0,1,1,0,1,1
O43819,0,0,0,0,1,0,0,0
O43823,0,1,1,1,0,1,0,0
O43824,0,0,0,1,1,0,0,0
O43826,0,0,0,0,1,0,0,0
O43837,0,0,1,1,0,0,0,0
O43847,1,1,1,1,1,1,0,0
O43852,1,1,1,1,1,1,1,1
O43854,1,0,0,0,0,0,0,0
O43865,1,0,0,1,1,0,0,1
O43896,1,0,0,1,0,0,0,0
O43909,1,0,0,0,0,0,0,0
O43913,0,0,1,0,0,0,0,0
O43929,0,0,1,0,0,0,0,0
O43933,0,0,1,0,0,0,0,0
O60216,0,0,1,1,1,0,0,0
O60229,1,0,0,0,0,0,0,0
O60231,0,0,1,1,1,0,0,0
O60232,1,1,0,1,0,0,0,0
O60243,1,0,0,0,0,0,0,0
O60244,0,0,0,1,1,0,0,0
O60245,1,1,0,0,0,1,0,0
O60256,1,0,1,1,0,0,0,0
O60264,0,1,1,1,1,1,1,1
O60266,1,0,0,0,0,0,0,0
O60271,1,1,1,1,0,1,1,1
O60282,1,0,0,0,0,0,0,0
O60287,0,1,0,0,1,1,0,0
O60291,1,1,0,0,0,1,0,0
O60292,1,0,0,1,0,0,0,0
O60293,0,0,0,1,0,0,0,0
O60294,0,0,1,0,0,0,0,0
O60306,0,0,1,1,1,0,0,0
O60313,0,0,1,1,0,0,0,0
O60315,0,0,1,0,0,0,0,0
O60318,0,0,1,0,0,0,0,0
O60331,1,0,0,0,0,0,1,1
O60333,1,1,0,1,0,1,0,1
O60341,0,0,1,1,1,0,0,0
O60343,1,1,1,0,1,1,0,0
O60346,1,0,0,0,0,0,0,0
