gene,AT1R-APEX2(AngII),AT1R-APEX2(TRV027),β2AR-APEX2(BI167107),Endosomal-APEX2,DOR-APEX2,CCDC68,CCDC120
O43432,0,0,0,1,1,0,1
O43432-3,1,0,1,0,0,0,0
O43447,0,0,0,0,0,0,1
O43462,0,0,1,0,0,0,0
O43464,0,0,0,0,0,0,1
O43474,0,0,0,0,0,0,1
O43488,0,0,0,0,0,0,1
O43491,1,1,1,1,1,1,0
O43493,0,0,1,0,0,0,0
O43504,0,0,1,0,0,0,0
O43505,0,0,1,0,0,0,0
O43524,0,0,1,0,0,0,0
O43529,0,0,1,0,0,0,0
O43556,0,0,1,0,0,0,0
O43583,0,1,1,0,0,1,0
O43592,0,0,1,1,1,1,1
O43597,0,0,1,0,0,0,0
O43598,0,0,0,0,0,0,1
O43615,0,0,0,0,0,1,1
O43639,0,0,1,0,0,1,0
O43657,0,0,1,0,0,0,0
O43660,1,0,0,0,0,0,1
O43663,0,0,1,0,0,0,1
O43665-3,0,0,1,0,0,0,0
O43670,0,0,0,0,0,1,1
O43670-4,0,1,1,0,0,0,0
O43681,0,0,0,0,0,0,1
O43683,0,0,1,1,1,1,0
O43684,0,0,1,1,1,1,1
O43707,1,1,1,1,1,1,1
O43709,0,0,0,0,0,0,1
O43719,0,0,1,0,1,0,1
O43739,0,0,0,0,0,0,1
O43747,0,0,0,1,1,0,1
O43747-2,0,0,1,0,0,0,0
O43752,0,0,0,0,0,0,1
O43759,0,0,1,0,0,1,0
O43760,0,1,1,1,1,1,1
O43761,0,0,1,0,0,1,0
O43768,0,0,0,1,1,0,0
O43768-3,0,1,1,0,0,0,0
O43768-4,1,0,0,0,0,0,0
O43772,0,0,0,0,0,1,1
O43776,1,1,1,1,1,0,1
O43790,0,0,0,0,0,1,0
O43795,1,1,1,1,1,1,1
O43808,0,0,0,0,0,1,1
O43809,0,1,1,1,1,1,1
O43813,0,0,1,1,1,1,1
O43815,0,0,1,0,0,0,1
O43818,1,1,0,0,0,0,1
O43823,0,0,0,1,1,1,1
O43824,0,0,0,0,0,0,1
O43837,0,0,0,0,0,1,1
O43847,0,0,0,1,1,1,1
O43847-2,0,0,1,0,0,0,0
O43852,0,0,0,1,1,1,1
O43852-3,1,1,1,0,0,0,0
O43852-4,0,1,1,0,0,0,0
O43854,0,0,1,0,0,0,0
O43865,0,1,1,0,0,0,1
O43896,0,0,1,0,0,0,1
O43909,0,0,1,0,0,0,0
O43913,0,0,0,0,0,1,0
O43929,0,0,0,0,0,1,0
O43933,0,0,0,0,0,1,0
O60216,0,0,0,0,0,1,1
O60229,0,0,1,0,0,0,0
O60231,0,0,0,0,0,1,1
O60232,0,0,1,0,1,0,1
O60243,0,0,1,0,0,0,0
O60244,0,0,0,0,0,0,1
O60245,0,0,1,1,1,0,0
O60245-3,0,0,1,0,0,0,0
O60256,0,0,1,0,0,1,1
O60264,1,1,0,1,1,1,1
O60266,0,0,1,0,0,0,0
O60271,1,1,0,1,1,1,1
O60271-4,0,0,1,0,0,0,0
O60282,0,0,1,0,0,0,0
O60287,0,0,0,1,1,0,0
O60291,0,0,0,1,1,0,0
O60291-2,0,0,1,0,0,0,0
O60292,0,0,1,0,0,0,1
O60293,0,0,0,0,0,0,1
O60294,0,0,0,0,0,1,0
O60306,0,0,0,0,0,1,1
O60313,0,0,0,0,0,1,1
O60315,0,0,0,0,0,1,0
O60318,0,0,0,0,0,1,0
O60331-3,1,1,1,0,0,0,0
O60333,0,0,0,1,1,0,1
O60333-3,0,0,1,0,0,0,0
O60333-4,0,1,1,0,0,0,0
O60341,0,0,0,0,0,1,1
O60343,0,0,1,1,1,1,0
O60346,0,0,1,0,0,0,0
O60353,0,0,1,0,0,0,0
O60427,1,1,0,0,0,0,0
O60437,0,0,0,0,0,0,1
O60462,0,0,1,0,0,0,0
O60476,0,0,1,0,0,0,0
O60479,0,0,0,0,0,0,1
O60488,1,1,1,0,0,0,1
O60493,1,1,1,1,1,0,0
O60502,0,0,1,1,1,1,0
O60503,0,0,1,0,0,0,0
O60504,0,0,1,0,0,0,0
O60506,1,1,0,1,1,1,1
O60506-3,1,0,1,0,0,0,0
O60507,0,0,1,0,0,0,0
O60508,0,0,0,0,0,0,1
O60524,0,1,1,0,0,0,1
O60547,0,0,1,1,1,1,0
O60563,0,0,0,1,1,0,0
O60566,0,0,0,1,1,1,0
O60566-3,0,0,1,0,0,0,0
O60568,0,0,1,1,1,0,1
O60573,0,0,0,1,1,0,1
O60610,1,1,1,1,1,1,0
O60613,0,0,1,0,0,0,0
O60637,1,0,1,0,0,0,0
O60645,0,0,0,0,0,0,1
O60664,1,0,1,1,1,1,1
O60671,0,0,0,0,0,0,1
O60678,1,0,1,1,1,1,1
O60684,0,1,1,1,1,1,1
O60701,0,0,0,0,0,1,1
O60716,0,0,0,1,1,1,1
O60716-3,1,1,1,0,0,0,0
O60725,0,0,1,0,0,0,0
O60749,0,0,1,1,1,1,0
O60762,0,0,0,0,0,1,1
O60763,0,0,0,1,1,1,1
O60763-2,0,0,1,0,0,0,0
O60779,0,0,1,0,0,0,0
O60784,0,0,1,1,1,1,1
O60814,0,0,0,0,0,1,1
O60826,0,0,1,0,0,0,0
O60828,0,0,0,0,0,0,1
O60830,0,0,0,0,0,0,1
O60831,0,0,1,0,0,0,0
O60832,1,1,0,1,1,0,1
O60841,1,1,1,1,1,0,1
O60858,0,0,0,1,1,0,0
O60879,0,0,0,0,0,1,0
O60884,1,1,1,1,1,1,1
O60885,0,1,0,0,0,0,0
O60888,0,0,0,0,1,0,0
O60911,0,0,1,0,0,0,0
O60925,0,0,1,0,0,0,0
O60927,0,0,1,0,0,0,0
O60934,0,0,0,1,1,0,0
O75027,0,0,0,0,0,1,0
O75027-2,0,0,1,0,0,0,0
O75044,0,1,1,1,1,0,1
O75051,0,0,1,0,0,0,0
O75052,0,0,1,0,0,0,0
O75054-2,0,0,1,0,0,0,0
O75061,0,0,0,0,0,0,1
O75061-2,0,0,1,0,0,0,0
O75063,0,0,1,0,0,0,0
O75071,0,0,1,0,0,0,0
O75077,0,0,0,0,0,0,1
O75077-3,0,0,1,0,0,0,0
O75083,1,1,1,1,1,1,1
O75084,0,0,1,0,0,0,0
O75110,0,0,1,0,0,0,0
O75113,0,0,0,1,1,1,0
O75116,1,1,1,1,1,0,0
O75121,0,1,1,0,0,0,0
O75122,0,0,0,1,1,1,1
O75127,0,0,0,0,0,0,1
O75128,0,0,0,1,1,0,1
O75128-2,0,0,1,0,0,0,0
O75131,1,1,1,1,1,1,1
O75143,0,0,0,1,1,0,0
O75143-5,0,0,1,0,0,0,0
O75146,0,1,1,1,1,1,1
O75147,0,1,1,0,0,0,1
O75152,0,0,0,1,1,0,1
O75153,0,0,1,1,1,1,1
O75157,0,0,1,0,0,0,0
O75165,0,0,1,1,1,0,0
O75167-4,0,1,1,0,0,0,0
O75170,0,0,1,1,1,1,0
O75175,0,0,1,1,1,0,1
O75177,0,0,0,0,0,0,1
O75179,0,0,1,1,1,1,1
O75182,0,0,0,1,1,0,0
O75190,1,0,1,0,0,1,1
O75197,0,0,1,0,0,1,0
O75223,1,1,1,0,0,1,1
O75306,0,0,0,0,0,0,1
O75312,0,0,1,0,0,1,0
O75319,0,0,0,0,0,0,1
O75323,0,0,0,0,0,1,0
O75330,0,0,0,1,1,0,1
O75330-3,0,0,1,0,0,0,0
O75340,0,0,1,1,1,0,1
O75342,0,0,0,0,0,1,0
O75347,0,1,1,1,1,0,0
O75348,0,0,1,1,1,0,0
O75351,0,0,1,0,0,1,0
O75352,0,0,0,0,0,0,1
O75354,0,0,1,0,0,0,0
O75356,0,0,1,0,0,0,0
O75367,1,1,1,1,1,0,1
O75369,0,0,0,1,1,1,1
O75369-8,1,1,1,0,0,0,0
O75376,0,0,0,0,0,1,1
O75381,0,0,1,1,1,0,0
O75382,0,0,0,0,0,0,1
O75390,0,1,1,0,0,0,1
O75396,0,0,1,1,1,1,1
O75400,1,1,1,1,1,0,1
O75410,0,0,0,1,1,0,0
O75410-2,0,0,1,0,0,0,0
O75419,0,0,0,0,0,1,1
O75420,0,0,1,0,0,0,0
O75431,0,0,0,0,0,0,1
O75436,0,1,1,1,1,1,1
O75439,0,1,0,0,0,1,1
O75446,0,0,0,0,0,0,1
O75449,0,0,1,0,0,0,1
O75460,0,0,1,0,0,0,0
O75473,0,0,1,0,0,0,0
O75475,1,1,1,0,0,0,1
O75477,0,0,1,0,1,0,1
O75487,0,0,1,0,0,0,0
